"","year","state","rate"
"131",1930,"Nevada",NA
"132",1930,"New Hampshire",126.38
"133",1930,"New Jersey",602.87
"134",1930,"New Mexico",529.23
"135",1930,"New York",315.39
"136",1930,"North Carolina",41.17
"137",1930,"North Dakota",117
"138",1930,"Ohio",277.6
"139",1930,"Oklahoma",164.93
"140",1930,"Oregon",276.36
"141",1930,"Pennsylvania",356.56
"142",1930,"Rhode Island",39.23
"143",1930,"South Carolina",14.45
"144",1930,"South Dakota",346.31
"145",1930,"Tennessee",179.91
"146",1930,"Texas",73.12
"147",1930,"Utah",1044.79
"148",1930,"Vermont",236.69
"149",1930,"Virginia",NA
"150",1930,"Washington",631.64
"151",1930,"West Virginia",157.7
"152",1930,"Wisconsin",748.58
"153",1930,"Wyoming",341.55
"154",1931,"Alabama",337.29
"155",1931,"Alaska",NA
"156",1931,"Arizona",497.69
"157",1931,"Arkansas",45.91
"158",1931,"California",477.48
"159",1931,"Colorado",453.27
"160",1931,"Connecticut",790.46
"161",1931,"Delaware",1003.28
"162",1931,"District Of Columbia",832.99
"163",1931,"Florida",260.79
"164",1931,"Georgia",104.39
"165",1931,"Hawaii",NA
"166",1931,"Idaho",25.97
"167",1931,"Illinois",516.97
"168",1931,"Indiana",541.21
"169",1931,"Iowa",34.25
"170",1931,"Kansas",93.47
"171",1931,"Kentucky",181.04
"172",1931,"Louisiana",11.47
"173",1931,"Maine",434.35
"174",1931,"Maryland",1264.85
"175",1931,"Massachusetts",386.78
"176",1931,"Michigan",133.48
"177",1931,"Minnesota",123.53
"178",1931,"Mississippi",NA
"179",1931,"Missouri",369.77
"180",1931,"Montana",284.85
"181",1931,"Nebraska",24.91
"182",1931,"Nevada",NA
"183",1931,"New Hampshire",299.15
"184",1931,"New Jersey",494.19
"185",1931,"New Mexico",324.57
"186",1931,"New York",423.22
"187",1931,"North Carolina",480.48
"188",1931,"North Dakota",142.06
"189",1931,"Ohio",291.32
"190",1931,"Oklahoma",32.17
"191",1931,"Oregon",242.56
"192",1931,"Pennsylvania",821.6
"193",1931,"Rhode Island",665.05
"194",1931,"South Carolina",189.95
"195",1931,"South Dakota",212.36
"196",1931,"Tennessee",134.79
"197",1931,"Texas",39.56
"198",1931,"Utah",29.72
"199",1931,"Vermont",318.4
"200",1931,"Virginia",NA
"201",1931,"Washington",197.43
"202",1931,"West Virginia",291.38
"203",1931,"Wisconsin",506.57
"204",1931,"Wyoming",60.69
"205",1932,"Alabama",10.21
"206",1932,"Alaska",NA
"207",1932,"Arizona",20.11
"208",1932,"Arkansas",5.33
"209",1932,"California",214.08
"210",1932,"Colorado",222.9
"211",1932,"Connecticut",348.27
"212",1932,"Delaware",15.98
"213",1932,"District Of Columbia",53.14
"214",1932,"Florida",13.63
"215",1932,"Georgia",34.36
"216",1932,"Hawaii",NA
"217",1932,"Idaho",8.76
"218",1932,"Illinois",208.31
"219",1932,"Indiana",88.78
"220",1932,"Iowa",6.32
"221",1932,"Kansas",326.64
"222",1932,"Kentucky",72.99
"223",1932,"Louisiana",67.44
"224",1932,"Maine",1086.28
"225",1932,"Maryland",65.17
"226",1932,"Massachusetts",463.19
"227",1932,"Michigan",881.09
"228",1932,"Minnesota",95.11
"229",1932,"Mississippi",NA
"230",1932,"Missouri",43.16
"231",1932,"Montana",1007.97
"232",1932,"Nebraska",31.61
"233",1932,"Nevada",NA
"234",1932,"New Hampshire",151.26
"235",1932,"New Jersey",373.96
"236",1932,"New Mexico",271.9
"237",1932,"New York",465.06
"238",1932,"North Carolina",423.04
"239",1932,"North Dakota",318.07
"240",1932,"Ohio",539.34
"241",1932,"Oklahoma",43.17
"242",1932,"Oregon",514.2
"243",1932,"Pennsylvania",470.69
"244",1932,"Rhode Island",1472.69
"245",1932,"South Carolina",182.58
"246",1932,"South Dakota",96.37
"247",1932,"Tennessee",68.99
"248",1932,"Texas",76.58
"249",1932,"Utah",13.91
"250",1932,"Vermont",1146.08
"251",1932,"Virginia",53.4
"252",1932,"Washington",631.93
"253",1932,"West Virginia",599.65
"254",1932,"Wisconsin",935.31
"255",1932,"Wyoming",242.1
"256",1933,"Alabama",65.22
"257",1933,"Alaska",NA
"258",1933,"Arizona",296.01
"259",1933,"Arkansas",293.32
"260",1933,"California",445.28
"261",1933,"Colorado",27.69
"262",1933,"Connecticut",330.66
"263",1933,"Delaware",82.68
"264",1933,"District Of Columbia",100.8
"265",1933,"Florida",63.93
"266",1933,"Georgia",156.88
"267",1933,"Hawaii",NA
"268",1933,"Idaho",193.59
"269",1933,"Illinois",155.65
"270",1933,"Indiana",108.02
"271",1933,"Iowa",33.01
"272",1933,"Kansas",335.08
"273",1933,"Kentucky",57.86
"274",1933,"Louisiana",42.77
"275",1933,"Maine",13.39
"276",1933,"Maryland",41.18
"277",1933,"Massachusetts",351.86
"278",1933,"Michigan",462.14
"279",1933,"Minnesota",752.33
"280",1933,"Mississippi",NA
"281",1933,"Missouri",152.96
"282",1933,"Montana",419.57
"283",1933,"Nebraska",117.35
"284",1933,"Nevada",NA
"285",1933,"New Hampshire",218.48
"286",1933,"New Jersey",726.94
"287",1933,"New Mexico",148.8
"288",1933,"New York",549
"289",1933,"North Carolina",495.59
"290",1933,"North Dakota",373.64
"291",1933,"Ohio",233.67
"292",1933,"Oklahoma",101.87
"293",1933,"Oregon",230.37
"294",1933,"Pennsylvania",336.38
"295",1933,"Rhode Island",9.36
"296",1933,"South Carolina",360.64
"297",1933,"South Dakota",299.08
"298",1933,"Tennessee",133.48
"299",1933,"Texas",361.4
"300",1933,"Utah",402.1
"301",1933,"Vermont",312.58
"302",1933,"Virginia",351.88
"303",1933,"Washington",155.84
"304",1933,"West Virginia",303.34
"305",1933,"Wisconsin",317.48
"306",1933,"Wyoming",249.06
"307",1934,"Alabama",590.27
"308",1934,"Alaska",NA
"309",1934,"Arizona",238.81
"310",1934,"Arkansas",384.57
"311",1934,"California",423.26
"312",1934,"Colorado",1204.25
"313",1934,"Connecticut",282.35
"314",1934,"Delaware",1225.2
"315",1934,"District Of Columbia",1137.49
"316",1934,"Florida",505.65
"317",1934,"Georgia",774.78
"318",1934,"Hawaii",NA
"319",1934,"Idaho",252.43
"320",1934,"Illinois",574.84
"321",1934,"Indiana",631.03
"322",1934,"Iowa",346.39
"323",1934,"Kansas",538.84
"324",1934,"Kentucky",422.55
"325",1934,"Louisiana",220.96
"326",1934,"Maine",78.02
"327",1934,"Maryland",1575.91
"328",1934,"Massachusetts",1039.49
"329",1934,"Michigan",132.48
"330",1934,"Minnesota",313.6
"331",1934,"Mississippi",NA
"332",1934,"Missouri",539.48
"333",1934,"Montana",355.92
"334",1934,"Nebraska",331.03
"335",1934,"Nevada",NA
"336",1934,"New Hampshire",846.7
"337",1934,"New Jersey",359.92
"338",1934,"New Mexico",731.9
"339",1934,"New York",258.13
"340",1934,"North Carolina",1685.34
"341",1934,"North Dakota",657.63
"342",1934,"Ohio",410.5
"343",1934,"Oklahoma",378.08
"344",1934,"Oregon",193.5
"345",1934,"Pennsylvania",848.11
"346",1934,"Rhode Island",65.79
"347",1934,"South Carolina",637.61
"348",1934,"South Dakota",1373.94
"349",1934,"Tennessee",647.85
"350",1934,"Texas",490.66
"351",1934,"Utah",2184.87
"352",1934,"Vermont",380.66
"353",1934,"Virginia",1158.76
"354",1934,"Washington",473.84
"355",1934,"West Virginia",231.8
"356",1934,"Wisconsin",1332.84
"357",1934,"Wyoming",967.44
"358",1935,"Alabama",265.34
"359",1935,"Alaska",NA
"360",1935,"Arizona",135.02
"361",1935,"Arkansas",80.33
"362",1935,"California",466.38
"363",1935,"Colorado",1186.07
"364",1935,"Connecticut",1449.49
"365",1935,"Delaware",412.7
"366",1935,"District Of Columbia",152.73
"367",1935,"Florida",72.77
"368",1935,"Georgia",1.05
"369",1935,"Hawaii",NA
"370",1935,"Idaho",182.33
"371",1935,"Illinois",746.81
"372",1935,"Indiana",299.12
"373",1935,"Iowa",865.65
"374",1935,"Kansas",1399.01
"375",1935,"Kentucky",533.77
"376",1935,"Louisiana",117.22
"377",1935,"Maine",857.76
"378",1935,"Maryland",133.17
"379",1935,"Massachusetts",286.73
"380",1935,"Michigan",1600.88
"381",1935,"Minnesota",1062
"382",1935,"Mississippi",NA
"383",1935,"Missouri",345.19
"384",1935,"Montana",1422.57
"385",1935,"Nebraska",639.7
"386",1935,"Nevada",NA
"387",1935,"New Hampshire",55.13
"388",1935,"New Jersey",792.91
"389",1935,"New Mexico",147.97
"390",1935,"New York",516.43
"391",1935,"North Carolina",323.87
"392",1935,"North Dakota",290.45
"393",1935,"Ohio",544.79
"394",1935,"Oklahoma",102.91
"395",1935,"Oregon",705.43
"396",1935,"Pennsylvania",917.36
"397",1935,"Rhode Island",994.05
"398",1935,"South Carolina",46.26
"399",1935,"South Dakota",167.25
"400",1935,"Tennessee",51.31
"401",1935,"Texas",64.07
"402",1935,"Utah",50.16
"403",1935,"Vermont",389.3
"404",1935,"Virginia",727.35
"405",1935,"Washington",525.47
"406",1935,"West Virginia",605.9
"407",1935,"Wisconsin",1415.38
"408",1935,"Wyoming",935.42
"409",1936,"Alabama",20.78
"410",1936,"Alaska",NA
"411",1936,"Arizona",525.5
"412",1936,"Arkansas",5.66
"413",1936,"California",773.54
"414",1936,"Colorado",54.74
"415",1936,"Connecticut",228.97
"416",1936,"Delaware",555.96
"417",1936,"District Of Columbia",335.59
"418",1936,"Florida",18.22
"419",1936,"Georgia",0.27
"420",1936,"Hawaii",NA
"421",1936,"Idaho",262.62
"422",1936,"Illinois",15.43
"423",1936,"Indiana",21.15
"424",1936,"Iowa",8
"425",1936,"Kansas",23.17
"426",1936,"Kentucky",79.66
"427",1936,"Louisiana",57.67
"428",1936,"Maine",891.89
"429",1936,"Maryland",405.28
"430",1936,"Massachusetts",613.81
"431",1936,"Michigan",47.72
"432",1936,"Minnesota",283.03
"433",1936,"Mississippi",NA
"434",1936,"Missouri",17.37
"435",1936,"Montana",81.57
"436",1936,"Nebraska",86.34
"437",1936,"Nevada",NA
"438",1936,"New Hampshire",185.39
"439",1936,"New Jersey",215.06
"440",1936,"New Mexico",234.94
"441",1936,"New York",477.48
"442",1936,"North Carolina",40.3
"443",1936,"North Dakota",16.52
"444",1936,"Ohio",136.53
"445",1936,"Oklahoma",15.22
"446",1936,"Oregon",919.15
"447",1936,"Pennsylvania",243.53
"448",1936,"Rhode Island",368.69
"449",1936,"South Carolina",48.24
"450",1936,"South Dakota",33.6
"451",1936,"Tennessee",50.18
"452",1936,"Texas",125.58
"453",1936,"Utah",117.89
"454",1936,"Vermont",2974.79
"455",1936,"Virginia",127.83
"456",1936,"Washington",463.74
"457",1936,"West Virginia",63.26
"458",1936,"Wisconsin",126.57
"459",1936,"Wyoming",57.52
"460",1937,"Alabama",22.46
"461",1937,"Alaska",NA
"462",1937,"Arizona",837.3
"463",1937,"Arkansas",16.98
"464",1937,"California",78.26
"465",1937,"Colorado",93
"466",1937,"Connecticut",606.76
"467",1937,"Delaware",707.1
"468",1937,"District Of Columbia",333.27
"469",1937,"Florida",23.08
"470",1937,"Georgia",NA
"471",1937,"Hawaii",NA
"472",1937,"Idaho",243.15
"473",1937,"Illinois",146.95
"474",1937,"Indiana",210.12
"475",1937,"Iowa",10.76
"476",1937,"Kansas",42.11
"477",1937,"Kentucky",245.75
"478",1937,"Louisiana",20.71
"479",1937,"Maine",134.35
"480",1937,"Maryland",698.17
"481",1937,"Massachusetts",478.32
"482",1937,"Michigan",115.59
"483",1937,"Minnesota",25.12
"484",1937,"Mississippi",NA
"485",1937,"Missouri",186.45
"486",1937,"Montana",111.71
"487",1937,"Nebraska",34.46
"488",1937,"Nevada",NA
"489",1937,"New Hampshire",393.13
"490",1937,"New Jersey",1108.94
"491",1937,"New Mexico",487.27
"492",1937,"New York",202.81
"493",1937,"North Carolina",226.07
"494",1937,"North Dakota",8.4
"495",1937,"Ohio",366.37
"496",1937,"Oklahoma",45.62
"497",1937,"Oregon",38.19
"498",1937,"Pennsylvania",390.89
"499",1937,"Rhode Island",679.22
"500",1937,"South Carolina",99.18
"501",1937,"South Dakota",9.84
"502",1937,"Tennessee",106.41
"503",1937,"Texas",235.14
"504",1937,"Utah",396.79
"505",1937,"Vermont",289.31
"506",1937,"Virginia",337.39
"507",1937,"Washington",103.34
"508",1937,"West Virginia",110.04
"509",1937,"Wisconsin",66.55
"510",1937,"Wyoming",69.91
"511",1938,"Alabama",496.44
"512",1938,"Alaska",NA
"513",1938,"Arizona",149.34
"514",1938,"Arkansas",356.73
"515",1938,"California",278.32
"516",1938,"Colorado",823.71
"517",1938,"Connecticut",107.56
"518",1938,"Delaware",236.02
"519",1938,"District Of Columbia",115.59
"520",1938,"Florida",517.83
"521",1938,"Georgia",299.92
"522",1938,"Hawaii",NA
"523",1938,"Idaho",425.67
"524",1938,"Illinois",1145.16
"525",1938,"Indiana",523.18
"526",1938,"Iowa",223.17
"527",1938,"Kansas",583.06
"528",1938,"Kentucky",393.49
"529",1938,"Louisiana",44.77
"530",1938,"Maine",509.67
"531",1938,"Maryland",159.06
"532",1938,"Massachusetts",229.97
"533",1938,"Michigan",1505.5
"534",1938,"Minnesota",256.2
"535",1938,"Mississippi",NA
"536",1938,"Missouri",525.47
"537",1938,"Montana",1119.76
"538",1938,"Nebraska",209.06
"539",1938,"Nevada",NA
"540",1938,"New Hampshire",341.34
"541",1938,"New Jersey",716.98
"542",1938,"New Mexico",628.89
"543",1938,"New York",518.84
"544",1938,"North Carolina",1383.37
"545",1938,"North Dakota",863.45
"546",1938,"Ohio",694.27
"547",1938,"Oklahoma",116.62
"548",1938,"Oregon",121.89
"549",1938,"Pennsylvania",1329.75
"550",1938,"Rhode Island",35.95
"551",1938,"South Carolina",373.4
"552",1938,"South Dakota",212.46
"553",1938,"Tennessee",403.65
"554",1938,"Texas",95.34
"555",1938,"Utah",1808.86
"556",1938,"Vermont",1652.64
"557",1938,"Virginia",475.81
"558",1938,"Washington",112.23
"559",1938,"West Virginia",595.16
"560",1938,"Wisconsin",2348.05
"561",1938,"Wyoming",360.59
"562",1939,"Alabama",182.64
"563",1939,"Alaska",NA
"564",1939,"Arizona",144.02
"565",1939,"Arkansas",123.51
"566",1939,"California",939.48
"567",1939,"Colorado",525.21
"568",1939,"Connecticut",937.54
"569",1939,"Delaware",94.63
"570",1939,"District Of Columbia",497.42
"571",1939,"Florida",157.53
"572",1939,"Georgia",115.95
"573",1939,"Hawaii",NA
"574",1939,"Idaho",694.15
"575",1939,"Illinois",100.12
"576",1939,"Indiana",59.79
"577",1939,"Iowa",209.13
"578",1939,"Kansas",158.21
"579",1939,"Kentucky",79.78
"580",1939,"Louisiana",157.03
"581",1939,"Maine",271.09
"582",1939,"Maryland",852.92
"583",1939,"Massachusetts",546.19
"584",1939,"Michigan",328.17
"585",1939,"Minnesota",655.68
"586",1939,"Mississippi",NA
"587",1939,"Missouri",76.61
"588",1939,"Montana",1973.32
"589",1939,"Nebraska",276.01
"590",1939,"Nevada",NA
"591",1939,"New Hampshire",133.99
"592",1939,"New Jersey",104.83
"593",1939,"New Mexico",316.1
"594",1939,"New York",331.36
"595",1939,"North Carolina",664.5
"596",1939,"North Dakota",843.21
"597",1939,"Ohio",74
"598",1939,"Oklahoma",194.44
"599",1939,"Oregon",219.8
"600",1939,"Pennsylvania",186.57
"601",1939,"Rhode Island",416.85
"602",1939,"South Carolina",60.34
"603",1939,"South Dakota",1173.78
"604",1939,"Tennessee",108.43
"605",1939,"Texas",115.98
"606",1939,"Utah",1002.23
"607",1939,"Vermont",1029.19
"608",1939,"Virginia",394.24
"609",1939,"Washington",1158.16
"610",1939,"West Virginia",99.07
"611",1939,"Wisconsin",768.04
"612",1939,"Wyoming",1392.34
"613",1940,"Alabama",115.12
"614",1940,"Alaska",NA
"615",1940,"Arizona",339.06
"616",1940,"Arkansas",72
"617",1940,"California",376.44
"618",1940,"Colorado",231.8
"619",1940,"Connecticut",376.52
"620",1940,"Delaware",36.04
"621",1940,"District Of Columbia",126.99
"622",1940,"Florida",114.19
"623",1940,"Georgia",93.84
"624",1940,"Hawaii",NA
"625",1940,"Idaho",337.53
"626",1940,"Illinois",84.14
"627",1940,"Indiana",16.65
"628",1940,"Iowa",212.6
"629",1940,"Kansas",450.3
"630",1940,"Kentucky",97.62
"631",1940,"Louisiana",47.78
"632",1940,"Maine",837.74
"633",1940,"Maryland",233.84
"634",1940,"Massachusetts",498.72
"635",1940,"Michigan",299.7
"636",1940,"Minnesota",300.31
"637",1940,"Mississippi",NA
"638",1940,"Missouri",15.55
"639",1940,"Montana",476.48
"640",1940,"Nebraska",129.04
"641",1940,"Nevada",NA
"642",1940,"New Hampshire",147.66
"643",1940,"New Jersey",301.99
"644",1940,"New Mexico",216.63
"645",1940,"New York",212.23
"646",1940,"North Carolina",210.27
"647",1940,"North Dakota",149.05
"648",1940,"Ohio",22.4
"649",1940,"Oklahoma",60.4
"650",1940,"Oregon",671.12
"651",1940,"Pennsylvania",148.62
"652",1940,"Rhode Island",467.72
"653",1940,"South Carolina",32.32
"654",1940,"South Dakota",253.83
"655",1940,"Tennessee",95.17
"656",1940,"Texas",249.88
"657",1940,"Utah",1363.22
"658",1940,"Vermont",241.07
"659",1940,"Virginia",203.84
"660",1940,"Washington",919.59
"661",1940,"West Virginia",29.79
"662",1940,"Wisconsin",636.45
"663",1940,"Wyoming",393.6
"664",1941,"Alabama",297.47
"665",1941,"Alaska",NA
"666",1941,"Arizona",615.29
"667",1941,"Arkansas",273.89
"668",1941,"California",174.42
"669",1941,"Colorado",661.75
"670",1941,"Connecticut",364.57
"671",1941,"Delaware",1268.35
"672",1941,"District Of Columbia",488.19
"673",1941,"Florida",459.76
"674",1941,"Georgia",294.12
"675",1941,"Hawaii",NA
"676",1941,"Idaho",102.03
"677",1941,"Illinois",613.14
"678",1941,"Indiana",381.63
"679",1941,"Iowa",197.87
"680",1941,"Kansas",764.47
"681",1941,"Kentucky",610.5
"682",1941,"Louisiana",35.01
"683",1941,"Maine",557.7
"684",1941,"Maryland",384.33
"685",1941,"Massachusetts",474.01
"686",1941,"Michigan",1119.5
"687",1941,"Minnesota",35.34
"688",1941,"Mississippi",NA
"689",1941,"Missouri",175.17
"690",1941,"Montana",161.21
"691",1941,"Nebraska",34.6
"692",1941,"Nevada",275.84
"693",1941,"New Hampshire",201.98
"694",1941,"New Jersey",1044.54
"695",1941,"New Mexico",778.1
"696",1941,"New York",789.51
"697",1941,"North Carolina",658.4
"698",1941,"North Dakota",223.2
"699",1941,"Ohio",1132.77
"700",1941,"Oklahoma",88.78
"701",1941,"Oregon",607.51
"702",1941,"Pennsylvania",1011.32
"703",1941,"Rhode Island",57.67
"704",1941,"South Carolina",481.97
"705",1941,"South Dakota",61.34
"706",1941,"Tennessee",278.13
"707",1941,"Texas",308.34
"708",1941,"Utah",281.09
"709",1941,"Vermont",384.64
"710",1941,"Virginia",1035.28
"711",1941,"Washington",118.23
"712",1941,"West Virginia",592.24
"713",1941,"Wisconsin",993.07
"714",1941,"Wyoming",381.73
"715",1942,"Alabama",126.15
"716",1942,"Alaska",NA
"717",1942,"Arizona",740.83
"718",1942,"Arkansas",232.7
"719",1942,"California",1222.01
"720",1942,"Colorado",505.49
"721",1942,"Connecticut",587.88
"722",1942,"Delaware",90.16
"723",1942,"District Of Columbia",190.76
"724",1942,"Florida",189.61
"725",1942,"Georgia",168.74
"726",1942,"Hawaii",NA
"727",1942,"Idaho",395.08
"728",1942,"Illinois",132.69
"729",1942,"Indiana",94.99
"730",1942,"Iowa",254.79
"731",1942,"Kansas",535.23
"732",1942,"Kentucky",84.08
"733",1942,"Louisiana",123.74
"734",1942,"Maine",540.61
"735",1942,"Maryland",535.19
"736",1942,"Massachusetts",564.89
"737",1942,"Michigan",168.35
"738",1942,"Minnesota",567.73
"739",1942,"Mississippi",NA
"740",1942,"Missouri",178.71
"741",1942,"Montana",588.48
"742",1942,"Nebraska",428.55
"743",1942,"Nevada",811.69
"744",1942,"New Hampshire",167.14
"745",1942,"New Jersey",322.1
"746",1942,"New Mexico",315.64
"747",1942,"New York",191.24
"748",1942,"North Carolina",564.86
"749",1942,"North Dakota",274.08
"750",1942,"Ohio",127.08
"751",1942,"Oklahoma",260.92
"752",1942,"Oregon",499.14
"753",1942,"Pennsylvania",380.42
"754",1942,"Rhode Island",609.25
"755",1942,"South Carolina",218.23
"756",1942,"South Dakota",143.09
"757",1942,"Tennessee",106.34
"758",1942,"Texas",517.23
"759",1942,"Utah",2589.06
"760",1942,"Vermont",1071.29
"761",1942,"Virginia",177.59
"762",1942,"Washington",645.64
"763",1942,"West Virginia",303.79
"764",1942,"Wisconsin",781.79
"765",1942,"Wyoming",635.27
"766",1943,"Alabama",130.82
"767",1943,"Alaska",NA
"768",1943,"Arizona",172.44
"769",1943,"Arkansas",162.6
"770",1943,"California",340.06
"771",1943,"Colorado",976.97
"772",1943,"Connecticut",550.38
"773",1943,"Delaware",564.55
"774",1943,"District Of Columbia",234.27
"775",1943,"Florida",68.57
"776",1943,"Georgia",126.45
"777",1943,"Hawaii",NA
"778",1943,"Idaho",650.9
"779",1943,"Illinois",328.45
"780",1943,"Indiana",263
"781",1943,"Iowa",242.8
"782",1943,"Kansas",547.84
"783",1943,"Kentucky",383.79
"784",1943,"Louisiana",106.44
"785",1943,"Maine",297.99
"786",1943,"Maryland",196.78
"787",1943,"Massachusetts",752.17
"788",1943,"Michigan",765.18
"789",1943,"Minnesota",398.01
"790",1943,"Mississippi",NA
"791",1943,"Missouri",196.08
"792",1943,"Montana",1122.06
"793",1943,"Nebraska",401.02
"794",1943,"Nevada",397.32
"795",1943,"New Hampshire",211.18
"796",1943,"New Jersey",927.14
"797",1943,"New Mexico",105.71
"798",1943,"New York",478.18
"799",1943,"North Carolina",165.96
"800",1943,"North Dakota",798.53
"801",1943,"Ohio",276.41
"802",1943,"Oklahoma",76.06
"803",1943,"Oregon",693.95
"804",1943,"Pennsylvania",563.08
"805",1943,"Rhode Island",296.39
"806",1943,"South Carolina",153.66
"807",1943,"South Dakota",507.31
"808",1943,"Tennessee",194.95
"809",1943,"Texas",233.42
"810",1943,"Utah",1211.27
"811",1943,"Vermont",2323.73
"812",1943,"Virginia",341.34
"813",1943,"Washington",765.07
"814",1943,"West Virginia",133.75
"815",1943,"Wisconsin",1290.54
"816",1943,"Wyoming",1088.61
"817",1944,"Alabama",252.87
"818",1944,"Alaska",NA
"819",1944,"Arizona",736.71
"820",1944,"Arkansas",207.51
"821",1944,"California",599.97
"822",1944,"Colorado",556.49
"823",1944,"Connecticut",493.5
"824",1944,"Delaware",138.4
"825",1944,"District Of Columbia",310.09
"826",1944,"Florida",189.74
"827",1944,"Georgia",171.51
"828",1944,"Hawaii",NA
"829",1944,"Idaho",182.34
"830",1944,"Illinois",239.79
"831",1944,"Indiana",149.11
"832",1944,"Iowa",201.38
"833",1944,"Kansas",551.62
"834",1944,"Kentucky",86.5
"835",1944,"Louisiana",104
"836",1944,"Maine",611.07
"837",1944,"Maryland",613.78
"838",1944,"Massachusetts",433.38
"839",1944,"Michigan",466.94
"840",1944,"Minnesota",770.53
"841",1944,"Mississippi",NA
"842",1944,"Missouri",155.96
"843",1944,"Montana",720.79
"844",1944,"Nebraska",186.13
"845",1944,"Nevada",244.43
"846",1944,"New Hampshire",126.01
"847",1944,"New Jersey",658.66
"848",1944,"New Mexico",303.73
"849",1944,"New York",334.85
"850",1944,"North Carolina",671.48
"851",1944,"North Dakota",644.36
"852",1944,"Ohio",557.93
